internet_casa,participantes,media_geral,media_objetivas,media_cn,media_ch,media_lc,media_mt,media_redacao
Sim,174582,546.17,520.43,493.38,531.65,520.58,536.12,649.14
Não,21282,496.5,478.83,463.62,492.49,478.13,481.07,567.18
